id,Image,Hurricane,Damage,OnLineC,LinesC
7518,I31,H1,0,0.5,0.5
7518,I32,H1,0,0.5,0.5
7586,I1,H3,0,-0.5,-0.5
7586,I2,H3,0,-0.5,-0.5
7586,I3,H3,1,-0.5,-0.5
7586,I4,H3,1,-0.5,-0.5
7586,I5,H3,0,0.5,-0.5
7586,I6,H3,0,0.5,-0.5
7586,I7,H3,0,0.5,-0.5
7586,I8,H3,0,0.5,-0.5
7586,I9,H3,1,-0.5,0.5
7586,I10,H3,1,-0.5,0.5
7586,I11,H3,0,-0.5,0.5
7586,I12,H3,1,-0.5,0.5
7586,I13,H3,0,0.5,0.5
7586,I14,H3,0,0.5,0.5
7586,I15,H3,0,0.5,0.5
7586,I16,H3,0,0.5,0.5
7586,I17,H1,1,-0.5,-0.5
7586,I18,H1,1,-0.5,-0.5
7586,I19,H1,1,-0.5,-0.5
7586,I20,H1,1,-0.5,-0.5
7586,I21,H1,0,0.5,-0.5
7586,I22,H1,0,0.5,-0.5
7586,I23,H1,0,0.5,-0.5
7586,I24,H1,0,0.5,-0.5
7586,I25,H1,1,-0.5,0.5
7586,I26,H1,1,-0.5,0.5
7586,I27,H1,0,-0.5,0.5
7586,I28,H1,1,-0.5,0.5
7586,I29,H1,0,0.5,0.5
7586,I30,H1,0,0.5,0.5
7586,I31,H1,0,0.5,0.5
7586,I32,H1,0,0.5,0.5
7595,I1,H3,1,-0.5,-0.5
7595,I2,H3,1,-0.5,-0.5
7595,I3,H3,1,-0.5,-0.5
7595,I4,H3,1,-0.5,-0.5
7595,I5,H3,0,0.5,-0.5
7595,I6,H3,0,0.5,-0.5
7595,I7,H3,0,0.5,-0.5
7595,I8,H3,0,0.5,-0.5
7595,I9,H3,1,-0.5,0.5
7595,I10,H3,1,-0.5,0.5
7595,I11,H3,1,-0.5,0.5
7595,I12,H3,1,-0.5,0.5
7595,I13,H3,0,0.5,0.5
7595,I14,H3,0,0.5,0.5
7595,I15,H3,0,0.5,0.5
7595,I16,H3,0,0.5,0.5
7595,I17,H1,1,-0.5,-0.5
7595,I18,H1,1,-0.5,-0.5
7595,I19,H1,1,-0.5,-0.5
7595,I20,H1,1,-0.5,-0.5
7595,I21,H1,0,0.5,-0.5
7595,I22,H1,0,0.5,-0.5
7595,I23,H1,0,0.5,-0.5
7595,I24,H1,0,0.5,-0.5
7595,I25,H1,1,-0.5,0.5
7595,I26,H1,1,-0.5,0.5
7595,I27,H1,1,-0.5,0.5
7595,I28,H1,1,-0.5,0.5
7595,I29,H1,0,0.5,0.5
7595,I30,H1,0,0.5,0.5
7595,I31,H1,0,0.5,0.5
7595,I32,H1,0,0.5,0.5
7649,I1,H3,1,-0.5,-0.5
7649,I2,H3,1,-0.5,-0.5
7649,I3,H3,1,-0.5,-0.5
7649,I4,H3,1,-0.5,-0.5
7649,I5,H3,0,0.5,-0.5
7649,I6,H3,0,0.5,-0.5
7649,I7,H3,0,0.5,-0.5
7649,I8,H3,0,0.5,-0.5
7649,I9,H3,1,-0.5,0.5
7649,I10,H3,1,-0.5,0.5
7649,I11,H3,1,-0.5,0.5
7649,I12,H3,1,-0.5,0.5
7649,I13,H3,0,0.5,0.5
7649,I14,H3,0,0.5,0.5
7649,I15,H3,0,0.5,0.5
7649,I16,H3,0,0.5,0.5
7649,I17,H1,1,-0.5,-0.5
7649,I18,H1,1,-0.5,-0.5
7649,I19,H1,1,-0.5,-0.5
7649,I20,H1,1,-0.5,-0.5
7649,I21,H1,0,0.5,-0.5
